scope,difficulty,comparison,n,delta_pts,ci_low,ci_high,p_two_sided
computer_science,easy,jina_nemo_reranked - hybrid_deepseek,197,-2.54,-5.58,0.51,0.1289
computer_science,hard,jina_nemo_reranked - hybrid_deepseek,18,-5.56,-22.22,11.11,0.7655
computer_science,both,jina_nemo_reranked - hybrid_deepseek,215,-2.79,-6.05,0.0,0.1046
finance_en,easy,jina_nemo_reranked - hybrid_deepseek,173,3.47,-1.73,9.25,0.2561
finance_en,hard,jina_nemo_reranked - hybrid_deepseek,136,0.0,-7.35,7.35,1.0
finance_en,both,jina_nemo_reranked - hybrid_deepseek,309,1.94,-2.59,6.47,0.4292
pharmaceuticals,easy,jina_nemo_reranked - hybrid_deepseek,249,-1.61,-5.62,2.01,0.48
pharmaceuticals,hard,jina_nemo_reranked - hybrid_deepseek,115,0.87,-6.96,8.7,0.9133
pharmaceuticals,both,jina_nemo_reranked - hybrid_deepseek,364,-0.82,-4.4,2.75,0.7161
physics,easy,jina_nemo_reranked - hybrid_deepseek,265,1.51,-1.89,4.91,0.4369
physics,hard,jina_nemo_reranked - hybrid_deepseek,37,8.11,-8.11,24.32,0.3917
physics,both,jina_nemo_reranked - hybrid_deepseek,302,2.32,-0.99,5.96,0.2229
finance_fr,easy,jina_nemo_reranked - hybrid_deepseek,130,5.38,-0.77,11.54,0.1111
finance_fr,hard,jina_nemo_reranked - hybrid_deepseek,190,2.63,-3.68,8.95,0.4484
finance_fr,both,jina_nemo_reranked - hybrid_deepseek,320,3.75,-0.63,8.12,0.1108
